0.356,0.803,0.403,0.941,0.057,0.507,0.683,0.997,0.295,0.925,0.878
0.847,0.752,0.472,0.142,0.972,0.950,0.533,0.452,0.380,0.486,0.563
0.488,0.048,0.954,0.612,0.366,0.778,0.278,0.680,0.761,0.027,0.481
0.193,0.520,0.670,0.837,0.470,0.313,0.945,0.827,0.174,0.915,0.755
0.848,0.832,0.211,0.375,0.587,0.276,0.484,0.884,0.295,0.637,0.719
0.894,0.745,0.652,0.804,0.534,0.158,0.205,0.593,0.595,0.818,0.679
0.892,0.637,0.012,0.246,0.287,0.943,0.669,0.185,0.809,0.160,0.430
0.986,0.253,0.178,0.045,0.838,0.232,0.111,0.388,0.706,0.114,0.325
0.579,0.369,0.464,0.656,0.626,0.072,0.928,0.167,0.748,0.186,0.227
0.890,0.346,0.231,0.204,0.201,0.894,0.061,0.451,0.050,0.078,0.718
